epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,889.676,0.66429,2.27449,0.91024,0.64961,0.67667,0.73758,0.6015,0.92843,1.73904,1.08108,0.000237651,0.000237651,0.000237651
2,1694.28,0.46998,1.0533,0.84985,0.90238,0.8256,0.90346,0.74079,0.8482,1.04597,1.01577,0.000459954,0.000459954,0.000459954
3,2494.58,0.43818,0.79348,0.84345,0.54404,0.23485,0.32878,0.10479,2.77524,3.34784,1.78302,0.00066655,0.00066655,0.00066655
4,3286.4,0.40949,0.6703,0.83658,0.91297,0.33577,0.60246,0.27557,2.25652,3.19326,1.56196,0.000643314,0.000643314,0.000643314
5,4022.56,0.3868,0.59616,0.83085,0.24694,0.62373,0.58661,0.2899,2.5812,3.37881,1.8373,0.000619752,0.000619752,0.000619752
6,4722.82,0.37283,0.53398,0.82866,0.26074,0.69002,0.63398,0.36559,2.04751,3.13016,1.51922,0.00059619,0.00059619,0.00059619
7,5418.93,0.36019,0.4926,0.82556,0.31212,0.7022,0.65354,0.35327,2.07333,3.1999,1.51521,0.000572628,0.000572628,0.000572628
8,6118.78,0.35541,0.47593,0.82458,0.35613,0.66732,0.64356,0.36376,2.20394,3.33332,1.58845,0.000549066,0.000549066,0.000549066
9,6813.7,0.34332,0.44312,0.82146,0.3172,0.60055,0.57974,0.31795,2.53039,3.63623,1.84579,0.000525504,0.000525504,0.000525504
10,7513.1,0.3356,0.42888,0.82081,0.50251,0.53072,0.60117,0.35793,2.41835,3.88701,1.79949,0.000501942,0.000501942,0.000501942
11,8209.8,0.32986,0.41049,0.81808,0.46273,0.58124,0.59948,0.3569,2.32215,3.66739,1.67566,0.00047838,0.00047838,0.00047838
12,8907.02,0.3255,0.40021,0.81709,0.53079,0.48912,0.55811,0.32579,2.54623,4.07566,1.82612,0.000454818,0.000454818,0.000454818
